category,feature,status,evidence,files,tables,works,gap,risk,solution,priority
"3 Question types","Stimulus with linked questions","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E20: Filename + concept search and connected path inspection","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; online_exam_answers / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Add types incrementally through versioned schemas/renderers/graders; sandbox code/SQL outside core web process.","MEDIUM"
"3 Question types","Rich text","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E19: Markup and browser-script inspection; no assistive-technology session run","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","question_banks; online_exam_questions; online_exam_answers / online_exams; online_exam_questions; online_exam_submissions","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Introduce sanitized accessible content/media support and private upload policies; do not render arbitrary stored HTML.","MEDIUM"
"3 Question types","Question images","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E19: Markup and browser-script inspection; no assistive-technology session run","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","question_banks; online_exam_questions; online_exam_answers / online_exams; online_exam_questions; online_exam_submissions","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Introduce sanitized accessible content/media support and private upload policies; do not render arbitrary stored HTML.","MEDIUM"
"3 Question types","Question tables","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E19: Markup and browser-script inspection; no assistive-technology session run","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","question_banks; online_exam_questions; online_exam_answers / online_exams; online_exam_questions; online_exam_submissions","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Introduce sanitized accessible content/media support and private upload policies; do not render arbitrary stored HTML.","MEDIUM"
"3 Question types","Equations","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E19: Markup and browser-script inspection; no assistive-technology session run","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","question_banks; online_exam_questions; online_exam_answers / online_exams; online_exam_questions; online_exam_submissions","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Introduce sanitized accessible content/media support and private upload policies; do not render arbitrary stored HTML.","MEDIUM"
"3 Question types","LaTeX","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E19: Markup and browser-script inspection; no assistive-technology session run","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","question_banks; online_exam_questions; online_exam_answers / online_exams; online_exam_questions; online_exam_submissions","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Introduce sanitized accessible content/media support and private upload policies; do not render arbitrary stored HTML.","MEDIUM"
"3 Question types","Embedded media","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E19: Markup and browser-script inspection; no assistive-technology session run","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","question_banks; online_exam_questions; online_exam_answers / online_exams; online_exam_questions; online_exam_submissions","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Introduce sanitized accessible content/media support and private upload policies; do not render arbitrary stored HTML.","MEDIUM"
"3 Question types","Partial credit","PARTIAL","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E09: Marking/finalization trace; both runtime probe artifacts","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / app/Http/Controllers/OnlineExamController.php:1046-1138,1548-1588,1604-1814; app/Http/Requests/OnlineExam/{SubmitOnlineExamRequest,ManualMarkAnswerRequest}.php; resources/views/student/online_exam/take.blade.php:144-149","question_banks; online_exam_questions; online_exam_answers / online_exam_submissions; online_exam_answers; online_exam_questions","Manual answer awarded_marks allows decimals bounded by integer question marks.","No automatic partial credit or rubrics; question max fractional precision is lost.","Inconsistent marking.","Decimal question maxima plus explicit typed partial-credit rules.","HIGH"
"3 Question types","Negative marking","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E20: Filename + concept search and connected path inspection","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; online_exam_answers / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Persist versioned grading rules and test scoring bounds/rounding before release.","MEDIUM"
"3 Question types","Multiple accepted answers","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E20: Filename + concept search and connected path inspection","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; online_exam_answers / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Persist versioned grading rules and test scoring bounds/rounding before release.","MEDIUM"
"3 Question types","Numerical tolerance","MISSING","E05: Question type/form/validator/grading inspection; live-schema.json; T/F runtime probe / E20: Filename + concept search and connected path inspection","app/Models/{OnlineExamQuestion,QuestionBank}.php; app/Http/Requests/OnlineExam/{Store,Update}OnlineExamQuestionRequest.php; app/Http/Controllers/OnlineExamController.php:1695-1814; resources/views/{admin,teacher,student}/online_exam/ / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; online_exam_answers / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Persist versioned grading rules and test scoring bounds/rounding before release.","MEDIUM"
"3 Question types","Feedback","PARTIAL","E09: Marking/finalization trace; both runtime probe artifacts / E12: Result visibility and presentation source; premature-result/finalize probes","app/Http/Controllers/OnlineExamController.php:1046-1138,1548-1588,1604-1814; app/Http/Requests/OnlineExam/{SubmitOnlineExamRequest,ManualMarkAnswerRequest}.php; resources/views/student/online_exam/take.blade.php:144-149 / app/Models/OnlineExam.php:isResultVisibleFor; app/Models/OnlineExamSubmission.php; app/Http/Controllers/OnlineExamController.php:1569-1693; resources/views/{student,admin,teacher}/online_exam/results.blade.php (student uses result.blade.php)","online_exam_submissions; online_exam_answers; online_exam_questions / online_exam_submissions; online_exam_answers; online_exams","teacher_comment stored and shown to staff.","Student result is score-only; no answer-level feedback delivery/release options.","Candidate cannot understand marking.","Publish feedback under explicit result-visibility policy.","MEDIUM"
"4 Exam generation","Fixed questions","IMPLEMENTED","E04: Question-bank source and import test; both runtime probe artifacts / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php","question_banks; online_exam_questions; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users","Exam-owned question set is delivered; bank import snapshot test passes.","Overall exam engine still has shared workflow defects.","Current fixed papers need preservation.","Keep fixed-paper support and add immutable attempt manifest.","LOW"
"4 Exam generation","Question shuffling","IMPLEMENTED","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E18: 49 tests / 113 assertions passed; browser/concurrency coverage absent","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / tests/Feature/{OnlineExamAuthorizationTest,OnlineExamPermissionTest,OnlineExamControllerSecurityTest,TeacherOnlineExamTest,OnlineExamRemindersTest,OnlineExamStudentAttemptTest,OnlineExamStudentFrontendTest}.php; docs/online-exams-audit/existing-tests.txt","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / isolated SQLite fixtures; no live exam data","CRC32 ordering keyed by attempt/question/option stays stable on refresh; true option keys preserved.","Not cryptographic unpredictability or a frozen content snapshot.","Stable order alone cannot prove past paper content.","Preserve behavior and record actual order in attempt snapshot.","MEDIUM"
"4 Exam generation","Answer shuffling","IMPLEMENTED","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E18: 49 tests / 113 assertions passed; browser/concurrency coverage absent","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / tests/Feature/{OnlineExamAuthorizationTest,OnlineExamPermissionTest,OnlineExamControllerSecurityTest,TeacherOnlineExamTest,OnlineExamRemindersTest,OnlineExamStudentAttemptTest,OnlineExamStudentFrontendTest}.php; docs/online-exams-audit/existing-tests.txt","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / isolated SQLite fixtures; no live exam data","CRC32 ordering keyed by attempt/question/option stays stable on refresh; true option keys preserved.","Not cryptographic unpredictability or a frozen content snapshot.","Stable order alone cannot prove past paper content.","Preserve behavior and record actual order in attempt snapshot.","MEDIUM"
"4 Exam generation","Candidate-specific papers","PARTIAL","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E14: Live SHOW CREATE TABLE/SHOW INDEX inspection versus migrations/test schema","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/live-schema.json; database/migrations/*online_exam*.php; database/migrations/2026_07_02_125458_create_question_banks_table.php; tests/Feature/Support/OnlineExamTestHelper.php","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / all seven exam/question-bank tables","Per-attempt stable order for the same live question set.","No frozen question/key/rule versions; no candidate-specific selection; repair/race can change content.","Appeal/audit cannot reconstruct exact delivered paper reliably.","Persist immutable per-attempt question content/order/rule versions.","HIGH"
"4 Exam generation","Reproducible candidate paper","PARTIAL","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E14: Live SHOW CREATE TABLE/SHOW INDEX inspection versus migrations/test schema","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/live-schema.json; database/migrations/*online_exam*.php; database/migrations/2026_07_02_125458_create_question_banks_table.php; tests/Feature/Support/OnlineExamTestHelper.php","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / all seven exam/question-bank tables","Per-attempt stable order for the same live question set.","No frozen question/key/rule versions; no candidate-specific selection; repair/race can change content.","Appeal/audit cannot reconstruct exact delivered paper reliably.","Persist immutable per-attempt question content/order/rule versions.","HIGH"
"4 Exam generation","Random question selection","MISSING","E04: Question-bank source and import test; both runtime probe artifacts / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Build generator over versioned bank; persist selected IDs/versions/order/seed for each candidate.","MEDIUM"
"4 Exam generation","Question pools","MISSING","E04: Question-bank source and import test; both runtime probe artifacts / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Build generator over versioned bank; persist selected IDs/versions/order/seed for each candidate.","MEDIUM"
"4 Exam generation","Random by topic","MISSING","E04: Question-bank source and import test; both runtime probe artifacts / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Build generator over versioned bank; persist selected IDs/versions/order/seed for each candidate.","MEDIUM"
"4 Exam generation","Random by difficulty","MISSING","E04: Question-bank source and import test; both runtime probe artifacts / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Build generator over versioned bank; persist selected IDs/versions/order/seed for each candidate.","MEDIUM"
"4 Exam generation","Random by outcome","MISSING","E04: Question-bank source and import test; both runtime probe artifacts / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Build generator over versioned bank; persist selected IDs/versions/order/seed for each candidate.","MEDIUM"
"4 Exam generation","Exam blueprints","MISSING","E04: Question-bank source and import test; both runtime probe artifacts / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Build generator over versioned bank; persist selected IDs/versions/order/seed for each candidate.","MEDIUM"
"4 Exam generation","Balanced random papers","MISSING","E04: Question-bank source and import test; both runtime probe artifacts / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Build generator over versioned bank; persist selected IDs/versions/order/seed for each candidate.","MEDIUM"
"4 Exam generation","A/B/C/D versions","MISSING","E04: Question-bank source and import test; both runtime probe artifacts / E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E20: Filename + concept search and connected path inspection","app/Http/Controllers/OnlineExamController.php:376-451,813-1015; app/Models/QuestionBank.php; resources/views/admin/online_exam/{question_bank,bank_modal,questions}.blade.php; resources/views/teacher/online_exam/question_bank.blade.php / app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / docs/online-exams-audit/{core-search-files,concept-search-files}.txt; app/Http/Controllers/OnlineExamController.php; app/Models/OnlineExam*.php; routes/web.php; app/Console/Kernel.php","question_banks; online_exam_questions; subjects / online_exams; online_exam_questions; online_exam_submissions; enrollment; users / exam-owned tables; no supporting implementation found","No connected implementation found.","No supporting route/service/storage/UI workflow found.","Target workflow is unavailable.","Build generator over versioned bank; persist selected IDs/versions/order/seed for each candidate.","MEDIUM"
"5 Student experience","Instructions screen","IMPLEMENTED","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E18: 49 tests / 113 assertions passed; browser/concurrency coverage absent","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / tests/Feature/{OnlineExamAuthorizationTest,OnlineExamPermissionTest,OnlineExamControllerSecurityTest,TeacherOnlineExamTest,OnlineExamRemindersTest,OnlineExamStudentAttemptTest,OnlineExamStudentFrontendTest}.php; docs/online-exams-audit/existing-tests.txt","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / isolated SQLite fixtures; no live exam data","Real instructions page and declaration/start button; schedule messaging tests pass.","Readiness prose overstates recovery/camera guarantees.","Misleading candidate expectations.","Preserve screen; correct claims to implemented behavior.","MEDIUM"
"5 Student experience","Start confirmation","IMPLEMENTED","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E18: 49 tests / 113 assertions passed; browser/concurrency coverage absent","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / tests/Feature/{OnlineExamAuthorizationTest,OnlineExamPermissionTest,OnlineExamControllerSecurityTest,TeacherOnlineExamTest,OnlineExamRemindersTest,OnlineExamStudentAttemptTest,OnlineExamStudentFrontendTest}.php; docs/online-exams-audit/existing-tests.txt","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / isolated SQLite fixtures; no live exam data","Real instructions page and declaration/start button; schedule messaging tests pass.","Readiness prose overstates recovery/camera guarantees.","Misleading candidate expectations.","Preserve screen; correct claims to implemented behavior.","MEDIUM"
"5 Student experience","Exam readiness check","PARTIAL","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E11: Full event/camera/readiness/timeline trace; no recording pipeline found","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / app/Http/Controllers/OnlineExamController.php:1238-1253,1524-1546,1629-1646; app/Models/OnlineExamProctoringEvent.php; app/Http/Requests/OnlineExam/{CameraReadinessRequest,ProctoringEventRequest}.php; resources/views/admin/online_exam/proctoring.blade.php; resources/views/student/online_exam/{instructions,take}.blade.php","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / online_exam_proctoring_events; online_exam_submissions","Optional camera/fullscreen check before start.","No network/storage/device/browser readiness; booleans spoofable; fullscreen flag stays true after exit on instructions.","False assurance.","Accurate capability check and server-authorized eligibility; label client checks as deterrents.","HIGH"
"5 Student experience","Question navigator","PARTIAL","E07: Client dirty-state/save/submit trace; server security tests / E19: Markup and browser-script inspection; no assistive-technology session run","resources/views/student/online_exam/take.blade.php:285-433; app/Http/Controllers/OnlineExamController.php:1456-1507; app/Http/Requests/OnlineExam/SaveOnlineExamAnswerRequest.php / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","online_exam_answers; online_exam_submissions / online_exams; online_exam_questions; online_exam_submissions","Anchor dots, answered styling, unanswered count on confirm.","Success flag can be stale; no clear distinction drafted/saving/confirmed; no full progress view.","Candidate thinks unsaved response is secure.","Version-aware status and accessible progress/review display.","HIGH"
"5 Student experience","Answered/unanswered indicators","PARTIAL","E07: Client dirty-state/save/submit trace; server security tests / E19: Markup and browser-script inspection; no assistive-technology session run","resources/views/student/online_exam/take.blade.php:285-433; app/Http/Controllers/OnlineExamController.php:1456-1507; app/Http/Requests/OnlineExam/SaveOnlineExamAnswerRequest.php / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","online_exam_answers; online_exam_submissions / online_exams; online_exam_questions; online_exam_submissions","Anchor dots, answered styling, unanswered count on confirm.","Success flag can be stale; no clear distinction drafted/saving/confirmed; no full progress view.","Candidate thinks unsaved response is secure.","Version-aware status and accessible progress/review display.","HIGH"
"5 Student experience","Progress","PARTIAL","E07: Client dirty-state/save/submit trace; server security tests / E19: Markup and browser-script inspection; no assistive-technology session run","resources/views/student/online_exam/take.blade.php:285-433; app/Http/Controllers/OnlineExamController.php:1456-1507; app/Http/Requests/OnlineExam/SaveOnlineExamAnswerRequest.php / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","online_exam_answers; online_exam_submissions / online_exams; online_exam_questions; online_exam_submissions","Anchor dots, answered styling, unanswered count on confirm.","Success flag can be stale; no clear distinction drafted/saving/confirmed; no full progress view.","Candidate thinks unsaved response is secure.","Version-aware status and accessible progress/review display.","HIGH"
"5 Student experience","Free navigation","IMPLEMENTED","E06: Delivery/eligibility source; OnlineExamStudentFrontendTest and StudentAttemptTest / E19: Markup and browser-script inspection; no assistive-technology session run","app/Http/Controllers/OnlineExamController.php:1141-1454,1924-1945; app/Models/{OnlineExam,OnlineExamSubmission}.php; resources/views/student/online_exam/{instructions,list,take}.blade.php / resources/views/student/online_exam/{instructions,take,result,list}.blade.php; resources/views/teacher/online_exam/question_form.blade.php; resources/views/admin/online_exam/modal.blade.php","online_exams; online_exam_questions; online_exam_submissions; enrollment; users / online_exams; online_exam_questions; online_exam_submissions","All questions rendered with anchor navigation.","No constrained navigation modes.","Full paper accessible by design.","Preserve free navigation as explicit mode.","LOW"
